"fsym_id","ShortInterestDateCurrent","ShortInterestDateOneMonthAgo","ShortInterestDateTwoMonthsAgo","ShortInterestDateThreeMonthsAgo","ShortInterestDateFourMonthsAgo","ShortInterestDateFiveMonthsAgo","ShortInterestDateSixMonthsAgo","ShortInterestDateSevenMonthsAgo","ShortInterestDateEightMonthsAgo","ShortInterestDateNineMonthsAgo","ShortInterestDateTenMonthsAgo","ShortInterestDateElevenMonthsAgo","ShortInterestShsCurrent","ShortInterestShsOneMonthAgo","ShortInterestShsTwoMonthsAgo","ShortInterestShsThreeMonthsAgo","ShortInterestShsFourMonthsAgo","ShortInterestShsFiveMonthsAgo","ShortInterestShsSixMonthsAgo","ShortInterestShsSevenMonthsAgo","ShortInterestShsEightMonthsAgo","ShortInterestShsNineMonthsAgo","ShortInterestShsTenMonthsAgo","ShortInterestShsElevenMonthsAgo","ShortInterestRatioCurrent","ShortInterestRatioOneMonthAgo","ShortInterestRatioTwoMonthsAgo","ShortInterestRatioThreeMonthsAgo","ShortInterestRatioFourMonthsAgo","ShortInterestRatioFiveMonthsAgo","ShortInterestRatioSixMonthsAgo","ShortInterestRatioSevenMonthsAgo","ShortInterestRatioEightMonthsAgo","ShortInterestRatioNineMonthsAgo","ShortInterestRatioTenMonthsAgo","ShortInterestRatioElevenMonthsAgo","ShortInterestAsPercentOfFloat"
"SGNCDP-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",0,200,3000,55000,6100,5400,9000,1000,3300,4200,7500,56000,0,.00218766,.0261689,.407593,.067784,.0369525,.0620876,.00873331,.022285,.0104188,.0130657,.122519,0
"FML4HF-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",5991982,5526204,5639478,4953109,4880398,3852308,3693295,3332103,3533929,3530583,3290315,3576631,9.42183,4.83028,1.66051,12.3395,7.08591,6.9125,10.4115,7.56342,12.3615,8.07862,6.71071,7.12944,7.34828141613434
"W81KB3-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",399219,326694,297723,306367,310275,325831,252857,242923,212501,222067,234246,255856,2.37858,6.4536,15.1675,10.8903,9.69912,6.99448,3.64636,3.54193,10.8568,3.34327,5.20639,12.4985,2.24971771387489
"HTP7VN-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",708530,656435,963283,996557,1395961,1664656,1707539,1586075,1709917,1521804,1874146,1906609,5.94913,3.03625,5.28463,4.01769,6.13855,7.99796,6.49993,4.68927,5.36532,4.68526,5.74472,6.49056,1.65209884966791
"R89YH0-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1800,452,0,816,2216,7519,9319,10519,1508,3170,1076,3901,.0309688,.0104977," ",.266058,.0634866,.0802361,.355932,.075661,.059808,.0144303,1.51549,.0658163," "
"RVH3KJ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",19500,19500,19500,4500,4900,1400,0,198,0,0,107,0,65.8784,24.8092,37.428,.777336,.296754,.0983422," ",.00521053," "," ",.00685897," "," "
"BZPFLX-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4173992,3215298,2836756,4070420,2925922,3032636,3363344,4663195,4609856,4456357,4745626,4755586,3.69067,2.55271,1.40327,3.7108,2.53063,2.395,2.60779,5.62539,5.39901,4.94589,3.53795,4.18037,2.62248744063917
"MGFRM4-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",17216,3509,3649,9978,9299,3703,9063,6309,7993,4502,6893,3404,1.37927,.602714,.801098,1.68747,1.27331,.354558,.272834,1.10047,1.34201,1.72888,.652623,1.10555,.691398403068884
"JNS0BN-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",523602,485122,546629,504154,537050,701338,768381,464404,465877,334989,438442,513197,1.97211,2.96513,3.58572,1.14073,1.39812,2.3932,.65521,1.67803,1.62715,.535963,.148553,1.50675,2.95945656084314
"QZTC73-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",231175,302016,312998,305574,322581,362154,406480,461503,520082,532837,531975,541586,6.56002,8.93909,8.73491,8.32083,5.07378,6.26131,8.09447,4.97814,11.7004,7.09834,7.40737,8.78898,2.12510246317002
"FDS65G-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",45574324,20490329,18400642,17973515,18616574,21122263,18812772,17880219,18060681,17230079,16338344,19484532,5.43733,1.97204,1.46334,1.59347,1.56368,2.06878,1.8995,1.79306,1.28373,1.70088,1.27291,2.16869,4.14625050006502
"FBHNTF-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",31559,23481,24873,20987,20814,22153,45652,25382,32867,41047,40221,4159,1.13285,.264822,.121302,.375943,.761441,.988929,2.91148,1.78282,1.69252,1.88991,.694855,.100357,.157858143257303
"HF1NMS-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",21212,34424,43786,48797,22347,30030,22734,52520,68317,68417,39422,29924,.697511,1.97499,1.65,1.51327,.846349,.865992,.560075,1.90304,3.62194,2.96319,2.1411,1.18483," "
"FJ5RHJ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2553589,2670499,2726078,2620617,2638606,2868517,2617826,2787292,3038981,2899693,3048018,2523143,5.62461,19.9047,24.0253,21.3339,12.5813,14.037,16.3755,14.4706,18.2554,20.0345,12.7383,11.7781,6.02500339993237
"K96Y8H-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",10000,10000,11000,22400,19707,10334,14361,20269,11000,14200,11000,15000,.328801,.529501,.601815,1.00034,.813396,.485567,.43236,.556145,.367317,.607309,.686829,1.34174,0
"N7YFL5-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1626382,1747756,1550949,1492371,1320063,1392988,1809233,1866131,1771513,1506253,1189423,1524593,6.88792,4.24932,3.38264,3.90537,2.70252,2.64458,4.09771,3.57574,3.67857,4.43681,2.05504,5.06782,2.56486977393523
"LNX76H-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",6441,15348,18065,53953,19374,23984,35769,33755,15833,14342,67300,50690,.279194,.859784,1.01546,1.64285,1.25276,1.12622,1.19861,.929634,.607536,.421402,4.38065,2.05664," "
"QCPL9F-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",21799,24013,16561,17101,14376,19557,22862,18109,15665,10644,13241,14052,.963747,1.1484,.919443,.779728,.431168,.685153,.765717,.287814,.37263,.107149,.515154,.361578," "
"BMN95Y-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",3400,3100,200,2200,0,0,2000,0,0,0,5500,0,1.88615,1.45997,.0438308,.470588," ",0,.681689," "," ",0,1.81605,0," "
"WHQMCJ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1200,1200,100,1000,3400,5200,7700,5400,4400,2100,3500,9100,.422219,.612996,.0329531,.255049,1.05613,2.21748,2.08765,1.13604,.762982,.545343,.636531,1.99754,0
"RDKGSX-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",38918,22698,14814,21454,15548,7072,4500,4821,4397,8293,11339,13800,2.58718,2.61718,1.36114,1.56122,.490395,.212207,.203676,.26302,.245523,.504128,1.07442,1.69503,0
"JQBNSZ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1200,0,0,0,0,0,0,0,0,0,0,0,.00390049," "," "," "," "," "," "," "," "," "," "," "," "
"SHW5J5-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",5083,200,995.999659549207,9601.08762726459,9601.08762726459,9601.08762726459,8373.81531949585,6916.3612722256,10638.5418180984,872.726974413325,8746.90610105755,0,.0104831,.000262349,.00112448," ",.0212423,.0516114,.113697,.0818562,.0987225,.00479044,.0331393," ",0
